Timed,With TMD (m/s^2),,,Timed,Without TMD (m/s^2)
,,,,8.064,0.0003
,,,,8.113,0.0203
,,,,8.16,0.0203
,,,,8.213,0.0103
,,,,8.259,-0.0097
,,,,8.311,-0.0197
,,,,8.379,-0.0097
,,,,8.425,0.0103
,,,,8.48,0.0203
,,,,8.53,0.0103
,,,,8.58,-0.0097
,,,,8.629,-0.0097
,,,,8.689,-0.0097
,,,,8.743,0.0003
,,,,8.802,0.0203
,,,,8.829,0.0103
,,,,8.884,0.0003
,,,,8.937,-0.0097
,,,,8.985,-0.0097
,,,,9.036,0.0003
,,,,9.087,0.0103
,,,,9.146,0.0203
,,,,9.205,0.0003
,,,,9.255,0.0003
,,,,9.314,-0.0097
,,,,9.343,0.0003
,,,,9.394,0.0103
,,,,9.448,0.0103
